;Org. nr (Standardfält);Företagsnamn;Kontoansvarig
1;;Canon Bussines Center - Lkpg;Filip Mbanza
2;;AFRY - Örnsköldsvik;Anton Fellbrink
3;;Vallagruppen AS;Filip Mbanza
4;;Handelsbanken Malmö City;Filip Mbanza
5;;Handelsbanken Norrköping;Filip Mbanza
6;;Transtema Kalmar;Filip Mbanza
7;;Transtema Jönköping;Filip Mbanza
8;;Elektrobyrån Bankeryd;Filip Mbanza
9;;Swedbank Norrköping;Filip Mbanza
10;;Härnösands Billack AB;Anton Fellbrink
11;;Vattenfall Services Nordic AB - Nkpg;Filip Mbanza
12;;Ragn-Sells AB;Anton Fellbrink
13;;Ramirent AB Hörnösand;Anton Fellbrink
14;;AFRY - Nyköping;Filip Mbanza
15;;Gärdin & Persson AB;Anton Fellbrink
16;;Bravida Gävle;Anton Fellbrink
17;0616787-2;Paf Ålands Penningautomatförening;Filip Mbanza
18;202100-4284;Svenska Kraftnät;Anton Fellbrink
19;2021004730;Försvarshögskolan;Filip Mbanza
20;2120001967;Örebro kommun;Peter Bengtsson
21;2220001487;Samhällsbyggnadsförbundet Bergslagen;Peter Bengtsson
22;5020077862;Svenska Handelsbanken AB;Peter Bengtsson
23;5020077862;Svenska Handelsbanken AB;Filip Mbanza
24;502017-7753;Swedbank AB Sundsvall;Anton Fellbrink
25;5020173083;Försäkringsaktiebolaget Skandia (publ);Anton Fellbrink
26;5020177753;Swedbank AB Östersund;Anton Fellbrink
27;5164019738;Skandiabanken Aktiebolag (publ) - Kundtjänstkontor;Filip Mbanza
28;5164019738;Skandiabanken Aktiebolag (publ);Emil Fransson
29;5164019811;DANSKE BANK A/S, DANMARK,SVERIGE FILIAL;Filip Mbanza
30;5164025073;Mitsubishi Electric Europe B.V. (Holland) Filial;Peter Bengtsson
31;5164036450;Aidon Sverige filial till Aidon Oy, Finland;Emil Fransson
32;5164038662;Trygg-Hansa Försäkring Filial;Emil Fransson
33;516406-0120;Nordea Bank AB - Sundsvall;Anton Fellbrink
34;5560005331;Husqvarna AB;Filip Mbanza
35;5560011842;Voith Paper Fabrics Högsjö AB - Säljkontor;Peter Bengtsson
36;5560013251;Lesjöfors Aktiebolag;Peter Bengtsson
37;5560016064;Jämtkraft Aktiebolag;Anton Fellbrink
38;5560018748;Outokumpu Stainless AB;Peter Bengtsson
39;556003-2921;Siemens AB;Anton Fellbrink
40;5560087453;Finnvedens Bil AB;Peter Bengtsson
41;5560125220;Beijer Byggmaterial Aktiebolag;Peter Bengtsson
42;5560126293;Svenska Cellulosa Aktiebolaget SCA;Anton Fellbrink
43;5560128661;Stora Enso Fors Aktiebolag;Peter Bengtsson
44;5560134628;Assemblin El AB;Filip Mbanza
45;5560138983;Nouryon Surface Chemistry AB - Stockviksfabriken;Anton Fellbrink
46;556014-8412;Elektroskandia Sverige AB - Nkpg;Filip Mbanza
47;5560145418;Cargotec Sweden Aktiebolag;Emil Fransson
48;5560148412;Elektroskandia Sverige AB;Anton Fellbrink
49;5560148412;Elektroskandia Sverige AB;Emil Fransson
50;5560163429;SSAB AB;Peter Bengtsson
51;5560163429;Ssab AB;Peter Bengtsson
52;5560185570;DLP Drinks Logistics Partner AB;Emil Fransson
53;5560215286;Microtec AB;Filip Mbanza
54;5560219338;Volvo Construction Equipment AB;Peter Bengtsson
55;5560229972;Nouryon Pulp and Performance Chemicals AB - Albyfabrikerna;Anton Fellbrink
56;5560238338;Billerud Skog & Industri Aktiebolag;Peter Bengtsson
57;5560247594;Swarco Sverige AB;Emil Fransson
58;5560255001;Billerud Aktiebolag (publ);Peter Bengtsson
59;5560263120;Uniper/Sydkraft Hydropower AB (KARLSHAMNSVERKET ÖRESUNDSKRAFT;Anton Fellbrink
60;5560296740;Öhrlings PricewaterhouseCoopers AB;Emil Fransson
61;5560297029;Hitachi Energy Sweden AB - Ludvika & Smedjebacken;Peter Bengtsson
62;5560302886;Suzuki Garphyttan AB;Peter Bengtsson
63;5560329285;Anticimex Aktiebolag;Anton Fellbrink
64;5560345174;NCC Aktiebolag;Emil Fransson
65;5560355009;Kongsberg Maritime Sweden AB;Peter Bengtsson
66;5560360793;Saab Aktiebolag;Emil Fransson
67;5560360793;SAAB Aktiebolag;Filip Mbanza
68;5560362138;Vattenfall AB - Sundsvall;Anton Fellbrink
69;5560362138;Vattenfall AB (Linköping);Filip Mbanza
70;5560384090;Norwesco Aktiebolag;Emil Fransson
71;5560392838;Björka Mineral AB;Peter Bengtsson
72;5560394032;MSI-EL Motala Ströms Installation AB;Filip Mbanza
73;5560412149;Epiroc Aktiebolag;Peter Bengtsson
74;5560441767;MEKANA MASKIN AB;Peter Bengtsson
75;5560450990;Jaco Fabriks Aktiebolag;Emil Fransson
76;5560462755;Uddeholms AB;Peter Bengtsson
77;5560483629;Sigma Polymer Group AB;Peter Bengtsson
78;5560510272;Rejlers Sverige AB;Emil Fransson
79;5560510272;Rejlers Sverige AB;Filip Mbanza
80;5560510272;Rejlers Sverige AB;Filip Mbanza
81;556052-8753;Caverion Sverige AB;Anton Fellbrink
82;5560520263;Frigoscandia AB;Filip Mbanza
83;5560523903;Danfoss Aktiebolag;Filip Mbanza
84;5560528753;Caverion Sverige AB;Filip Mbanza
85;5560536194;Assemblin VS AB - Filialkontor;Filip Mbanza
86;5560543885;Malte Månson Verkstäder AB;Peter Bengtsson
87;5560556515;Finnvedens Lastvagnar AB;Peter Bengtsson
88;5560563941;Helmia Bil Aktiebolag;Peter Bengtsson
89;5560566258;Ericsson AB;Emil Fransson
90;556057-4880;WSP Sverige AB - Lkpg;Filip Mbanza
91;5560573452;Ragn-Sells Recycling AB - Örebro;Peter Bengtsson
92;5560573452;Ragn-Sells Recycling AB - Karlstad Grums Forshaga Kil Hammarö;Peter Bengtsson
93;5560573452;Ragn-Sells Recycling AB;Emil Fransson
94;5560576968;Tage Rejmes Lastvagnar Aktiebolag;Filip Mbanza
95;5560577545;Atteviks Lastbilar AB;Peter Bengtsson
96;5560579624;Atria Sverige AB;Peter Bengtsson
97;5560579624;Atria Sverige AB;Peter Bengtsson
98;5560589094;ALSTOM Transport AB;Emil Fransson
99;5560602632;Holger Andreasen Aktiebolag;Peter Bengtsson
100;556061-8596;Tage Rejmes i Linköping Bil AB;Filip Mbanza
101;5560613670;Rotork Sweden AB;Peter Bengtsson
102;5560614462;Moelven Edanesågen Aktiebolag;Peter Bengtsson
103;5560627613;H. Folke Sandelin Aktiebolag;Filip Mbanza
104;5560630559;Skandinaviska Buss & Truck AB;Peter Bengtsson
105;5560635244;Lesjöfors Fjädrar Aktiebolag;Peter Bengtsson
106;5560659590;Kongsberg Power Products Systems AB - Huvudkontor och Fabrik;Peter Bengtsson
107;5560688557;Nordhydraulic AB;Anton Fellbrink
108;5560689738;Svensk Cater AB;Emil Fransson
109;5560709429;Oxelö Energi Aktiebolag;Filip Mbanza
110;556071-1060;Seco Tools Aktiebolag;Peter Bengtsson
111;5560718446;Bröderna Wallströms Tryckeriaktiebolag;Anton Fellbrink
112;556073-3114;Werksta Sundsvall;Anton Fellbrink
113;5560733114;Werksta Sweden AB - Örebro Bettorp;Peter Bengtsson
114;5560743311;UMV Coating Systems Aktiebolag;Peter Bengtsson
115;5560757287;One Nordic AB;Anton Fellbrink
116;5560757287;One Nordic AB;Filip Mbanza
117;5560760737;Stanley Security Sverige AB;Emil Fransson
118;5560760836;Engströms Bil AB;Filip Mbanza
119;5560766403;Asfaltsgruppen Öst AB;Filip Mbanza
120;5560769175;Press Kogyo Sweden AB;Peter Bengtsson
121;5560786500;Euromaster Aktiebolag;Anton Fellbrink
122;5560786682;Aktiebolaget Somas, Ventiler;Peter Bengtsson
123;5560786708;Pågen Aktiebolag;Peter Bengtsson
124;5560795030;Öhlins Racing Aktiebolag;Emil Fransson
125;5560796871;Spendrups Bryggeriaktiebolag - Bryggeri Grängesberg;Peter Bengtsson
126;556080-0210;Element Metech AB;Filip Mbanza
127;5560800210;Element Metech AB - Mätinstrument;Filip Mbanza
128;5560801937;Titanx Engine Cooling AB;Filip Mbanza
129;5560801937;TitanX Engine Cooling AB;Peter Bengtsson
130;5560813031;Swerock Aktiebolag;Filip Mbanza
131;556084-6783;Coor Service Management Östersund;Anton Fellbrink
132;5560840976;Scania CV Aktiebolag;Emil Fransson
133;5560895665;NLF, Nora-Lindefrakt Aktiebolag;Peter Bengtsson
134;5560906033;Zenita Aktiebolag;Filip Mbanza
135;5560909037;Skanska Rental AB;Anton Fellbrink
136;5560910431;Bengt Dahlgren Linköping AB;Filip Mbanza
137;5560925314;LAPP Miltronic AB;Filip Mbanza
138;5560925314;LAPP Muller;Filip Mbanza
139;5560967530;Nordic Truck Bodies Service AB;Peter Bengtsson
